row_number,hubmap_tissue_block_id,comments
994,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
996,HBM725.PZJL.434,401 Unauthorized: No Authorization header
999,HBM439.XLQC.765,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM439.XLQC.765
1002,HBM828.FDRM.746,401 Unauthorized: No Authorization header
1003,HBM245.FVXP.672,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM245.FVXP.672
1006,HBM872.VTRJ.863,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM872.VTRJ.863
1007,HBM525.HTJF.586,401 Unauthorized: No Authorization header
1008,HBM972.RTFD.763,401 Unauthorized: No Authorization header
1009,HBM252.NJGH.275,401 Unauthorized: No Authorization header
1010,HBM635.PSTJ.637,401 Unauthorized: No Authorization header
1011,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1013,HBM674.NJDT.733,401 Unauthorized: No Authorization header
1014,HBM757.NMDS.629,401 Unauthorized: No Authorization header
1018,HBM242.CWQM.323,401 Unauthorized: No Authorization header
1019,HBM752.DHVB.758,401 Unauthorized: No Authorization header
1020,HBM642.VZNT.722,401 Unauthorized: No Authorization header
1021,HBM653.SDCX.322,401 Unauthorized: No Authorization header
1022,HBM328.RHVD.587,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM328.RHVD.587
1031,HBM755.PXDD.845,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM755.PXDD.845
1033,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
1037,HBM437.CVGQ.787,401 Unauthorized: No Authorization header
1038,HBM399.SZKR.526,401 Unauthorized: No Authorization header
1039,HBM427.GLTD.448,401 Unauthorized: No Authorization header
1040,HBM838.FRWC.772,401 Unauthorized: No Authorization header
1041,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
1044,HBM399.SZKR.526,401 Unauthorized: No Authorization header
1046,HBM996.SDNT.327,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM996.SDNT.327
1050,HBM588.QSNN.686,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM588.QSNN.686
1053,HBM485.MFVF.256,401 Unauthorized: No Authorization header
1055,HBM763.BTMG.534,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM763.BTMG.534
1057,HBM658.HLPP.972,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM658.HLPP.972
1058,HBM434.JDFP.839,401 Unauthorized: No Authorization header
1059,HBM796.HXRQ.759,401 Unauthorized: No Authorization header
1061,HBM439.XLQC.765,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM439.XLQC.765
1062,HBM398.FZPD.625,401 Unauthorized: No Authorization header
1063,HBM282.CWDP.792,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM282.CWDP.792
1066,HBM779.PTHT.732,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM779.PTHT.732
1069,HBM495.CCMS.672,401 Unauthorized: No Authorization header
1073,HBM658.HLPP.972,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM658.HLPP.972
1074,HBM747.GDSX.233,401 Unauthorized: No Authorization header
1075,HBM849.RLTX.644,401 Unauthorized: No Authorization header
1076,HBM254.QFCD.845,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM254.QFCD.845
1078,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1080,HBM357.PXCR.848,401 Unauthorized: No Authorization header
1081,HBM653.SFTB.462,401 Unauthorized: No Authorization header
1082,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
1084,HBM563.RKLM.797,401 Unauthorized: No Authorization header
1085,HBM755.LZXB.837,401 Unauthorized: No Authorization header
1086,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1089,HBM328.HNFB.949,401 Unauthorized: No Authorization header
1090,HBM228.FBQV.938,401 Unauthorized: No Authorization header
1091,HBM392.JQFN.459,401 Unauthorized: No Authorization header
1092,HBM388.JHCR.587,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM388.JHCR.587
1094,HBM776.MWMG.262,401 Unauthorized: No Authorization header
1095,HBM725.PZJL.434,401 Unauthorized: No Authorization header
1096,HBM435.QGHP.936,401 Unauthorized: No Authorization header
1098,HBM798.ZZBP.697,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM798.ZZBP.697
1101,HBM328.RHVD.587,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM328.RHVD.587
1103,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1105,HBM387.FRRL.937,401 Unauthorized: No Authorization header
1106,HBM748.GDSK.748,401 Unauthorized: No Authorization header
1107,HBM288.DVGK.364,401 Unauthorized: No Authorization header
1108,HBM574.LFRK.262,401 Unauthorized: No Authorization header
1109,HBM222.SQKD.292,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM222.SQKD.292
1111,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
1114,HBM987.SRVR.359,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM987.SRVR.359
1116,HBM777.FXGQ.664,401 Unauthorized: No Authorization header
1120,HBM288.PSXR.792,401 Unauthorized: No Authorization header
1121,HBM777.RGFX.264,401 Unauthorized: No Authorization header
1123,HBM557.PWFN.956,401 Unauthorized: No Authorization header
1124,HBM827.CBML.724,401 Unauthorized: No Authorization header
1125,HBM222.SQKD.292,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM222.SQKD.292
1128,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1130,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1133,HBM434.JDFP.839,401 Unauthorized: No Authorization header
1134,HBM796.HXRQ.759,401 Unauthorized: No Authorization header
1135,HBM384.SXQB.763,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM384.SXQB.763
1136,HBM938.JJMV.536,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM938.JJMV.536
1137,HBM357.PXCR.848,401 Unauthorized: No Authorization header
1138,HBM653.SFTB.462,401 Unauthorized: No Authorization header
1139,HBM942.QQWW.939,401 Unauthorized: No Authorization header
1140,HBM665.QHRJ.735,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM665.QHRJ.735
1143,HBM269.WTVL.357,401 Unauthorized: No Authorization header
1144,HBM638.HSFV.957,401 Unauthorized: No Authorization header
1146,HBM366.RTLF.672,401 Unauthorized: No Authorization header
1147,HBM576.XPWX.482,401 Unauthorized: No Authorization header
1149,HBM733.MDFT.436,401 Unauthorized: No Authorization header
1150,HBM973.CRMG.832,401 Unauthorized: No Authorization header
1151,HBM776.MWMG.262,401 Unauthorized: No Authorization header
1152,HBM736.NQNZ.734,401 Unauthorized: No Authorization header
1156,HBM288.DVGK.364,401 Unauthorized: No Authorization header
1157,HBM574.LFRK.262,401 Unauthorized: No Authorization header
1158,HBM447.SVDJ.994,401 Unauthorized: No Authorization header
1160,HBM578.GNTF.748,rui_location does not exist in https://entity.api.hubmapconsortium.org/entities/HBM578.GNTF.748
1161,HBM638.GGCQ.252,401 Unauthorized: No Authorization header
